code	Konstanz.Archive.number	URL.number	Basis	Variants	Universal	Universal.short	Universal.shorter	Domain_general	Domain_if_part	Domain_then_part	formal.formula	harmony_status	Details.source	Details.source2	citation.scores	Size..review.of.original.	Bias.in.sample..review.of.original.	Bias.2	Bias.3	Sense..review.of.original.	Implementation..review.of.original.	Implementation..review.of.original..1	main_n	UNCON_Estimate	UNCON_low_95_CI	UNCON_upp_95_CI	UNCON_SIG	fam_n	FAM_Estimate	FAM_low_95_CI	FAM_upp_95_CI	FAM_SIG	COVAR_Estimate	COVAR_low_95_CI	COVAR_upp_95_CI	COVAR_SIG	BT_median_BF	BT_low_95_HDI	BT_upp_95_HDI	BT_HDI_SIG	SPAPHY_median_Estimate	SPAPHY_median_low_95_CI	SPAPHY_median_upp_95_CI	SPAPHY_SIG	supported
0001_or_2aKA	1, 2	3	30 languages of Greenberg 1963 sample	a	Universal 2. In languages with prepositions, the genitive almost always follows the governing noun, while in languages with postpositions it almost always precedes	Adp-N > N-Gen	Adp-N > N-Gen	narrow word order	word order	word order	GB074:1 > GB065:2	BDT Dryer 1992	Greenberg 1963 no. 2	Greenberg 1963	6329	30	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1957	2.6813225	2.4336596	2.9443785	SIG	1659	3.21674176	1.46576672	4.94083462	SIG	2.79497295	1.67495665	4.0110277	SIG	49.8868355	39.653315	61.068492	SIG	3.001025135	1.79094625	4.294787125	yes	SIG
0001_or_2bKA	1, 2	3	30 languages of Greenberg 1963 sample	b	Universal 2. In languages with prepositions, the genitive almost always follows the governing noun, while in languages with postpositions it almost always precedes	N-Adp > Gen-N	N-Adp > Gen-N	narrow word order	word order	word order	GB075:1 > GB065:1	BDT Dryer 1992	Greenberg 1963 no. 2	Greenberg 1963	6329	30	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	1880	2.312306	2.101443	2.5188962	SIG	1591	1.3889652	-0.30706181	2.8201046	NOT SIG	0.9336085	-0.87271123	2.3264244	NOT SIG	52.883915	45.259553	68.884175	SIG	1.034274464	-0.915546125	2.58289375	no	NOT SIG
0005KA	5	5	30 languages of Greenberg 1963 sample Source Greenberg 1963: 79, #5	NA	Universal 5. If a language has dominant SOV order and the genitive follows the governing noun, then the adjective likewise follows the noun.	SOV & N-Gen > N-Adj	SOV & N-Gen > N-Adj	narrow word order	word order	word order	GB131:0 & GB132:0 & GB133:1 & GB065:2 > GB193:2	Adj N order is not correlated with other word orders, Dryer 1988	Greenberg 1963 no. 5	Greenberg 1963	6329	30	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	Dryer (1988: 200) has shown that  this correlation is weak at best (Dryer, Matthew S. 1988. ÔObject-Verb Order and Adjective-Noun Order: Dispelling a MythÕ. Lingua 74: 185_217.)	OK, we can"t implement SOV (also including OSV in this implementation) nor can we account for the concept of "dominance".	OK	1786	-0.7359944	-0.9372931	-0.534456	SIG	1512	-0.29439219	-1.99465904	1.4788912	NOT SIG	0.05586274	-0.97349006	1.1275491	NOT SIG	-2.608855	-15.676823	8.150976	NOT SIG	-0.035923034	-1.178628125	1.21660375	no	NOT SIG
0008KA	8	8	30 languages of Greenberg 1963 sample Source Greenberg 1963: 96, #41	NA	Universal 41. If in a language the verb follows both the nominal subject and nominal object as the dominant order, the language almost always has a case system.	SOV|OSV > case	SOV|OSV > case	broad word order	word order	other	GB131:0 & GB132:0 & GB133:1 > GB070|GB071|GB072|GB073:1	NA	Greenberg 1963 no. 41	Greenberg 1963	6329	30	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	Dryer (2002) is a follow-up study	OK,  we cannot account for the concept of "dominance".	OK	1771	1.262375	1.04328	1.485433	SIG	1484	0.95984355	-0.51939082	2.5740825	NOT SIG	1.27477312	-0.25488649	2.7298556	NOT SIG	11.4238045	3.16069	27.007014	NOT SIG	1.442875632	-0.084420111	2.89911475	no	NOT SIG
0015aKA	15	15	languages in Lehmann 1973 Source W.P.Lehmann 1973: 48	a	Verbal modifiers like those for negation, causation, and reflexive or reciprocal are placed after verb roots in OV languages and before verb roots in VO languages.	OV > V-Mod	OV > V-Mod	narrow word order	word order	word order	GB131:0 & (GB132:1 | GB133:1) >  GB137:1	not harmonic, modifiers of verbs are placed on other side than the object, Lehmann 1973, Dryer 1992 calls the pair we investigate a non-correlation pair	W.P.Lehmann 1973: 48	W. P. Lehmann 1973	594	20	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	NA	OK, our implementation of VO/OV isn"t ideal, and we can only incorporate one such verbal modifier, namely negation.	OK	1940	1.8342881	1.5127732	2.170773	SIG	1635	1.96251122	0.33794092	3.5245795	SIG	2.0222437	0.8122268	3.1810057	SIG	30.050345	24.913092	43.31512	SIG	2.122638823	1.023908625	3.280813375	yes	SIG
0015bKA	15	15	languages in Lehmann 1973 Source W.P.Lehmann 1973: 48	b	Verbal modifiers like those for negation, causation, and reflexive or reciprocal are placed after verb roots in OV languages and before verb roots in VO languages.	VO > Mod-V	VO > Mod-V	narrow word order	word order	word order	(GB131:1 | GB132:1) & GB133:0 > GB138:1	not harmonic, modifiers of verbs are placed on other side than the object, Lehmann 1973, Dryer 1992 calls the pair we investigate a non-correlation pair	W.P.Lehmann 1973: 48	W. P. Lehmann 1973	594	20	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	NA	OK, our implementation of VO/OV isn"t ideal, and we can only incorporate one such verbal modifier, namely negation.	OK	1925	0.91993309	0.7221502	1.11783712	SIG	1620	1.1261349	-0.31593838	2.684414	NOT SIG	0.87028811	-0.54474729	2.5037855	NOT SIG	20.9202855	13.794391	38.677727	SIG	1.007133714	-0.3955374	2.595985875	no	NOT SIG
0045KA	45	45	languages mentioned in Croft 1988, Moravcsik 1988, South Asian languages of India (Indo-Aryan, Tibeto-Burman, Dravidian, Munda) surveyed by Subbarao 1998 Source Croft 1988: 164-169, Moravcsik 1988: 102 (Subj>Obj agreement), Plank 1991c: 534 (review); Subbarao 1998: 14 (adds Gen to this hierarchy)	NA	If there is a construction in which the verb agrees with some member of the relational hierarchy Subject > DO > IO > Oblique > [Genitive], then there are at least some constructions in which the verb agrees with members higher on that hierarchy .	Obj indexing > Sbj indexing	Obj index > Sbj index	hierarchy	agreement	agreement	(GB093:1 | GB094:1) > GB091:1 | GB092: 1	NA	Croft 1988: 164-169, Moravcsik 1988: 102 (Subj>Obj agreement), Plank 1991c: 534 (review); Subbarao 1998: 14 (adds Gen to this hierarchy)	Croft 1988	397	25	not really, just small	no bias	no bias	NA	OK, we could have split this into several universals, but now we test exclusively one instatiation of the universal.	OK	2030	2.227375	2.006999	2.449313	SIG	1720	3.17875209	1.8800513	4.518436	SIG	3.7568864	2.3738254	5.2915719	SIG	120.1161535	106.942069	132.429601	SIG	3.812415073	2.32339975	5.359409125	yes	SIG
0055KA	55	55	sample of 30 languages in Greenberg 1963; sample of 434 languages in Dryer 1992 Source Greenberg 1963: 78, #3; Dryer 1992: 83	NA	Universal 3. Languages with dominant VSO order are always prepositional.	VSO > Adp-N	VSO > Adp-N	narrow word order	word order	word order	GB131:1 & GB132:0 & GB133:0 > GB074:1	BDT Dryer 1992	Greenberg 1963 no. 3	Greenberg 1963	6329	30	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	NA	OK, we can"t implement VSO (also including VOS in this implementation) nor can we account for the concept of "dominance".	OK	1938	1.486811	1.170539	1.819045	SIG	1627	1.49951745	-0.3150457	3.5294799	NOT SIG	1.451885	-0.10687347	3.023537	NOT SIG	-0.3372375	-10.30864	7.775744	NOT SIG	1.384578724	-0.547314212	3.355005625	no	NOT SIG
0056KA	56	56	30 languages of Greenberg 1963 sample Source Greenberg 1963: 85, #17	NA	Universal 17. With overwhelmingly more than chance frequency, languages with dominant order VSO have the adjective after the noun.	VSO > N-Adj	VSO > N-Adj	narrow word order	word order	word order	GB131:1 & GB132:0 & GB133:0 > GB193:2	Adj N order is not correlated with other word orders, Dryer 1988	Greenberg 1963 no. 17	Greenberg 1963	6329	30	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	NA	OK, we can"t implement VSO (also including VOS in this implementation) nor can we account for the concept of "dominance".	OK	1833	-0.6280872	-0.899609	-0.3625015	SIG	1560	-0.89115274	-2.936821	0.9999854	NOT SIG	-1.25414437	-2.41703746	-0.07721926	SIG	-6.706581	-14.883244	11.65803	NOT SIG	-1.25004805	-2.224933375	-0.237142013	yes	NOT SIG
0057aKA	57	57	30 languages of Greenberg 1963 sample Source Greenberg 1963: 86, #18	a	Universal 18. When the descriptive adjective precedes the noun, the demonstrative and the numeral, with overwhelmingly more than chance frequency, do likewise.	Adj-N > Num-N	Adj-N > Num-N	narrow word order	word order	word order	GB193:1 > GB024:1	Adj N order is not correlated with other word orders, Dryer 1988	Greenberg 1963 no. 18	Greenberg 1963	6329	30	yes, definitely biased towards Eurasia/Europe	bias towards Eurasia	bias towards Eurasia	Rijkhoff (1992: Chap 9) is a follow-up study	perfect	perfect	1809	2.351409	2.088589	2.619221	SIG	1554	2.5828903	1.53667067	3.6214564	SIG	2.52215666	1.71904757	3.362938	SIG	53.5284275	42.420384	71.048415	SIG	2.664586223	1.861125	3.537726875	yes	SIG
